MAFOM,,,,,
Tickets Report,,,,,
Ticket id,Serial Number,Event Id,User Id,Buyer Id,isBought
178,SLFL07F9G0,7,6,,0
179,SLFL0UI390,7,6,,0
180,SLFL0TY8J0,7,6,,0
181,SLFL0YFAF0,7,6,,0
182,SLFL001350,7,6,,0
183,SLFL06OPF0,7,6,,0
184,SLFL04D390,7,6,,0
185,SLFL0J3840,7,6,,0
186,SLFL072E20,7,6,,0
187,SLFL07K6E0,7,6,,0
188,SLFL09I9F0,7,6,,0
189,SLFL0MV060,7,6,,0
190,SLFL0LXJ10,7,6,,0
191,SLFL0I0H10,7,6,,0
192,SLFL0BN3I0,7,6,,0
193,SLFL02AJA0,7,6,,0
194,SLFL02Y990,7,6,,0
195,SLFL038B10,7,6,,0
196,SLFL02G260,7,6,,0
197,SLFL0VVK80,7,6,4,1
198,SLFL07KS90,8,6,6,1
199,SLFL09GBD0,8,6,6,1
200,SLFL05VJB0,8,6,6,1
201,SLFL0MJEG0,8,6,6,1
202,SLFL0K0S70,8,6,6,1
203,SLFL00BGE0,8,6,6,1
204,SLFL07V810,8,6,6,1
205,SLFL0CQQ0,8,6,6,1
206,SLFL0VEKE0,8,6,6,1
207,SLFL0LTA0,8,6,6,1
208,SLFL08JM40,8,6,6,1
209,SLFL0P89D0,8,6,6,1
210,SLFL024CD0,8,6,6,1
211,SLFL0XZH90,8,6,6,1
212,SLFL0TGG70,8,6,6,1
213,SLFL00YN0,8,6,6,1
214,SLFL0IO3F0,8,6,6,1
215,SLFL0CV2I0,8,6,6,1
216,SLFL0H4490,8,6,6,1
217,SLFL0BSG20,8,6,6,1
218,SLFL02SP50,9,1,,0
219,SLFL0TT810,9,1,,0
220,SLFL0K08C0,9,1,,0
221,SLFL0HR5E0,9,1,,0
222,SLFL0P8T10,9,1,,0
223,SLFL0TOW50,9,1,,0
224,SLFL07GN80,9,1,,0
225,SLFL0R2B80,9,1,,0
226,SLFL0OD140,9,1,,0
227,SLFL0UI0C0,9,1,,0
228,SLFL05I0H0,9,1,,0
229,SLFL0OPE90,9,1,,0
230,SLFL0R6CI0,9,1,,0
231,SLFL0UWQ30,9,1,,0
232,SLFL0DJ0E0,9,1,,0
233,SLFL0W0N50,9,1,,0
234,SLFL0Y8BD0,9,1,,0
235,SLFL06YA60,9,1,,0
236,SLFL04XI60,9,1,,0
237,SLFL01TD20,9,1,,0
238,SLFL0C1440,9,1,,0
239,SLFL0OAS0,9,1,,0
240,SLFL0DVZC0,9,1,,0
241,SLFL0B9J50,9,1,,0
242,SLFL02K2D0,9,1,,0
243,SLFL0LCFC0,9,1,,0
244,SLFL05PXA0,9,1,,0
245,SLFL06UJ90,9,1,,0
246,SLFL0T0Q60,9,1,,0
247,SLFL0213J0,9,1,,0
248,SLFL0UZ750,9,1,,0
249,SLFL0F4KI0,9,1,,0
250,SLFL0C8M20,9,1,,0
251,SLFL096710,9,1,,0
252,SLFL0JJQF0,9,1,,0
253,SLFL0MYN90,9,1,,0
254,SLFL03EJE0,9,1,,0
255,SLFL0WD520,9,1,,0
256,SLFL0R66J0,9,1,,0
257,SLFL0ASA20,9,1,7,1
258,SLFL0GB6E0,9,1,6,1
259,SLFL0Z6650,9,1,6,1
260,SLFL0TTOH0,9,1,6,1
261,SLFL061G90,9,1,6,1
262,SLFL03NW30,9,1,6,1
263,SLFL0W4P60,9,1,6,1
264,SLFL09P590,9,1,6,1
265,SLFL0FCQF0,9,1,6,1
266,SLFL0G2G20,9,1,6,1
267,SLFL0QWV50,9,1,6,1
318,SLFL03Z7H0,11,2,,0
319,SLFL0FDB60,11,2,,0
320,SLFL0SSYC0,11,2,,0
321,SLFL0HPBI0,11,2,,0
322,SLFL05YM50,11,2,,0
323,SLFL0VCX60,11,2,,0
324,SLFL0TGOB0,11,2,,0
325,SLFL0CTEB0,11,2,,0
326,SLFL0E0JH0,11,2,,0
327,SLFL0TUKG0,11,2,,0
328,SLFL0UPP40,11,2,,0
329,SLFL0B51C0,11,2,,0
330,SLFL09US90,11,2,,0
331,SLFL0IXBH0,11,2,,0
332,SLFL08AMC0,11,2,,0
333,SLFL0ZCFE0,11,2,,0
334,SLFL00QQ10,11,2,,0
335,SLFL0AEUD0,11,2,,0
336,SLFL0PP720,11,2,,0
337,SLFL0SMC60,11,2,,0
338,SLFL0PH070,11,2,,0
339,SLFL0B4520,11,2,,0
340,SLFL0Z8CI0,11,2,,0
341,SLFL0CUDB0,11,2,,0
342,SLFL01XJ0,11,2,,0
343,SLFL0Z3430,11,2,,0
344,SLFL0ICKD0,11,2,,0
345,SLFL0MPQA0,11,2,,0
346,SLFL03EYI0,11,2,,0
347,SLFL0ZKB10,11,2,,0
348,SLFL0B3AJ0,11,2,,0
349,SLFL033OE0,11,2,,0
350,SLFL0W3TF0,11,2,,0
351,SLFL03RZA0,11,2,,0
352,SLFL0G48A0,11,2,,0
353,SLFL0C1Q30,11,2,,0
354,SLFL019Y50,11,2,,0
355,SLFL0MJ6I0,11,2,,0
356,SLFL0RG840,11,2,,0
357,SLFL0THT30,11,2,,0
358,SLFL029AH0,11,2,,0
359,SLFL0R4Y50,11,2,,0
360,SLFL0A7010,11,2,,0
361,SLFL0LV170,11,2,,0
362,SLFL0DD110,11,2,,0
363,SLFL08C410,11,2,,0
364,SLFL0ALS30,11,2,,0
365,SLFL0P2ZC0,11,2,,0
366,SLFL0DNL40,11,2,,0
367,SLFL0YMTA0,11,2,,0
368,SLFL0KBX50,12,3,,0
369,SLFL0KC690,12,3,,0
370,SLFL051S90,12,3,,0
371,SLFL01YEE0,12,3,,0
372,SLFL0WV680,12,3,,0
373,SLFL06RFE0,12,3,,0
374,SLFL075010,12,3,,0
375,SLFL068A30,12,3,,0
376,SLFL09ZKC0,12,3,,0
377,SLFL0ZB0B0,12,3,,0
408,SLFL0FZB90,14,4,,0
409,SLFL0HBVC0,14,4,,0
410,SLFL0V6080,14,4,,0
411,SLFL063560,14,4,,0
412,SLFL059VH0,14,4,,0
413,SLFL0GVRD0,14,4,,0
414,SLFL0PBQ10,14,4,,0
415,SLFL0P38A0,14,4,,0
416,SLFL0KL110,14,4,,0
417,SLFL0WJMG0,14,4,,0
418,SLFL0QT960,14,4,,0
419,SLFL014890,14,4,,0
420,SLFL098I90,14,4,,0
421,SLFL0KS3B0,14,4,,0
422,SLFL0UGEG0,14,4,,0
423,SLFL0M2870,14,4,,0
424,SLFL0QGR80,14,4,,0
425,SLFL0411C0,14,4,,0
426,SLFL020NE0,14,4,,0
427,SLFL03AI60,14,4,,0
428,SLFL02N110,14,4,,0
429,SLFL0C9270,14,4,,0
430,SLFL0KXM60,14,4,,0
431,SLFL0ZCP10,14,4,,0
432,SLFL0O7OA0,14,4,,0
433,SLFL009NI0,14,4,,0
434,SLFL04RB40,14,4,,0
435,SLFL0PI550,14,4,,0
436,SLFL0M9610,14,4,,0
437,SLFL06XOA0,14,4,,0
438,SLFL0Y9LG0,14,4,,0
439,SLFL0BRL60,14,4,,0
440,SLFL0Y0B30,14,4,,0
441,SLFL0S2VC0,14,4,,0
442,SLFL0RKKI0,14,4,,0
443,SLFL0RUIH0,14,4,,0
444,SLFL0KERH0,14,4,,0
445,SLFL0OH2F0,14,4,,0
446,SLFL0LME20,14,4,6,1
447,SLFL0XCJD0,14,4,6,1
448,SLFL0EN520,14,4,6,1
449,SLFL0LDPA0,14,4,6,1
450,SLFL056060,14,4,6,1
451,SLFL0YP5C0,14,4,6,1
452,SLFL0TW980,14,4,6,1
453,SLFL0B25I0,14,4,6,1
454,SLFL09MYB0,14,4,6,1
455,SLFL01Q030,14,4,6,1
456,SLFL0J4920,14,4,6,1
457,SLFL0YHI90,14,4,6,1
458,SLFL0W62A0,7,6,,0
459,SLFL0H9M80,7,6,,0
460,SLFL0N08D0,7,6,,0
461,SLFL00SM20,7,6,,0
462,SLFL0JTW10,7,6,,0
463,SLFL0QHWH0,7,6,,0
464,SLFL0FAVA0,7,6,,0
465,SLFL0C1X50,7,6,,0
466,SLFL00AU40,7,6,,0
467,SLFL067C50,7,6,,0
468,SLFL0HEXC0,7,6,,0
469,SLFL0DL910,7,6,,0
470,SLFL05IPH0,7,6,,0
471,SLFL0CJEA0,7,6,,0
472,SLFL02YD90,7,6,,0
473,SLFL0LDQ60,7,6,,0
474,SLFL09IJ80,7,6,,0
475,SLFL0I0C40,7,6,,0
476,SLFL0Q0ZG0,7,6,,0
477,SLFL0XPNE0,7,6,,0
478,SLFL0G16F0,7,6,,0
479,SLFL0U8230,7,6,,0
480,SLFL09YDG0,7,6,,0
481,SLFL0J3KG0,7,6,,0
482,SLFL04EEB0,7,6,,0
483,SLFL05O0D0,8,6,,0
484,SLFL0Q3G50,8,6,,0
485,SLFL0FG9C0,8,6,,0
486,SLFL0SWM20,8,6,,0
487,SLFL0GRU30,8,6,,0
488,SLFL0MKAD0,8,6,,0
489,SLFL0YWC50,8,6,,0
490,SLFL06DTD0,8,6,,0
491,SLFL0EDTC0,8,6,,0
492,SLFL0SSDI0,8,6,,0
493,SLFL05SNB0,8,6,,0
494,SLFL0N68E0,8,6,,0
495,SLFL0VIWF0,8,6,,0
496,SLFL0HW0I0,8,6,,0
497,SLFL0COL10,8,6,,0
498,SLFL0W0I10,8,6,,0
499,SLFL058Z60,8,6,,0
500,SLFL0982E0,8,6,,0
501,SLFL0ZJLB0,8,6,,0
502,SLFL0BSSG0,8,6,,0
503,SLFL0MWQ0,8,6,,0
504,SLFL0Z5J30,8,6,,0
505,SLFL0RIAA0,8,6,,0
506,SLFL07GUH0,8,6,,0
507,SLFL0P2AC0,8,6,,0
508,SLFL0O9990,8,6,,0
509,SLFL0VZO90,8,6,,0
510,SLFL061JG0,8,6,,0
511,SLFL07ZG10,8,6,,0
512,SLFL0F7I40,8,6,,0
513,SLFL0GT0G0,15,7,,0
514,SLFL0VUW0,15,7,,0
515,SLFL0QZ460,15,7,,0
516,SLFL0J7IH0,15,7,,0
517,SLFL0MI5F0,15,7,,0
518,SLFL010RE0,15,7,,0
519,SLFL0NYQB0,15,7,,0
520,SLFL0HJCD0,15,7,,0
521,SLFL0IP4H0,15,7,,0
522,SLFL02N5G0,15,7,,0
523,SLFL0DMHB0,15,7,,0
524,SLFL0IWTF0,15,7,,0
525,SLFL0C7EH0,15,7,,0
526,SLFL0WG9F0,15,7,,0
527,SLFL0UTNB0,15,7,,0
528,SLFL0LKT40,15,7,,0
529,SLFL0ZFYG0,15,7,,0
530,SLFL0IXYF0,15,7,,0
531,SLFL0K4VI0,15,7,,0
532,SLFL0IR2E0,15,7,,0
533,SLFL0A3LI0,15,7,,0
534,SLFL02O7I0,15,7,,0
535,SLFL0J9GD0,15,7,,0
536,SLFL0MASG0,15,7,,0
537,SLFL0HEF0,15,7,,0
538,SLFL0YYT10,15,7,,0
539,SLFL0KJN10,15,7,,0
540,SLFL0N5ND0,15,7,,0
541,SLFL0TPZ20,15,7,,0
542,SLFL0IOVA0,15,7,,0
543,SLFL0T4U90,15,7,,0
544,SLFL07UMB0,15,7,,0
545,SLFL0A9VB0,15,7,,0
546,SLFL0JT780,15,7,,0
547,SLFL0E2620,15,7,,0
548,SLFL06CB90,15,7,,0
549,SLFL06JPD0,15,7,,0
550,SLFL0F1E60,15,7,,0
551,SLFL0FN3D0,15,7,,0
552,SLFL0MPN80,15,7,,0
553,SLFL0DI3A0,15,7,,0
554,SLFL0MH830,15,7,,0
555,SLFL0DECG0,15,7,,0
556,SLFL093380,15,7,,0
557,SLFL0ABE90,15,7,,0
558,SLFL0WU7I0,15,7,,0
559,SLFL0LQ730,15,7,,0
560,SLFL0G9DD0,15,7,,0
561,SLFL0ZZ4D0,15,7,,0
562,SLFL0A3H20,15,7,,0
563,SLFL0PN7I0,15,7,6,1
564,SLFL0E9YA0,15,7,6,1
565,SLFL0CP770,15,7,6,1
566,SLFL0N7CA0,15,7,6,1
567,SLFL0RI1F0,15,7,6,1
568,SLFL00VXD0,15,7,6,1
569,SLFL0A3DA0,15,7,6,1
570,SLFL08KB10,15,7,6,1
571,SLFL0BNI70,15,7,6,1
572,SLFL057L0,15,7,6,1
573,SLFL06TEG0,15,7,6,1
574,SLFL0UCY50,15,7,6,1
575,SLFL01ZWE0,15,7,6,1
576,SLFL0N0BB0,15,7,6,1
577,SLFL0ISX20,15,7,6,1
578,SLFL0RR9E0,15,7,6,1
579,SLFL07RSD0,15,7,6,1
580,SLFL0QV70,15,7,6,1
581,SLFL04VJB0,15,7,6,1
582,SLFL01ZAA0,15,7,6,1
583,SLFL0BKZ10,15,7,6,1
584,SLFL0MRA80,15,7,6,1
585,SLFL0YJ4F0,15,7,6,1
586,SLFL0BLY50,15,7,6,1
587,SLFL0BCQG0,15,7,6,1
588,SLFL0KJWD0,15,7,6,1
589,SLFL0A3G60,15,7,6,1
590,SLFL0LVYD0,15,7,6,1
591,SLFL0V7R50,15,7,6,1
592,SLFL057ZF0,15,7,6,1
593,SLFL0G3S70,15,7,6,1
594,SLFL0KD7A0,15,7,6,1
595,SLFL0X5TH0,15,7,6,1
596,SLFL0YLY40,15,7,6,1
597,SLFL0ENQ90,15,7,6,1
598,SLFL0BIP60,15,7,6,1
599,SLFL08HP70,15,7,6,1
600,SLFL0NBN90,15,7,6,1
601,SLFL045N10,15,7,6,1
602,SLFL00S1E0,15,7,6,1
603,SLFL0PF980,15,7,6,1
604,SLFL0DVHC0,15,7,6,1
605,SLFL0YNQA0,15,7,6,1
606,SLFL0WCIB0,15,7,6,1
607,SLFL019X70,15,7,6,1
608,SLFL0X0860,15,7,6,1
609,SLFL0CZAG0,15,7,6,1
610,SLFL010Y40,15,7,6,1
611,SLFL067460,15,7,6,1
612,SLFL0YFRD0,15,7,6,1
